Wavelength,a_I,b_IA,c_IB,d_II,e_III,f_1C,g_3C,h_5C,i_7C,j_9C
427,0.0218,0.0306,0.0415,0.0800,0.1580,0.3512,0.5280,0.7624,1.1752,1.8760
428,0.0216,0.0304,0.0413,0.0794,0.1570,0.3468,0.5220,0.7536,1.1628,1.8640
429,0.0215,0.0302,0.0410,0.0789,0.1560,0.3424,0.5160,0.7448,1.1504,1.8520
430,0.0214,0.0300,0.0408,0.0784,0.1550,0.3380,0.5100,0.7360,1.1380,1.8400
431,0.0213,0.0298,0.0406,0.0779,0.1540,0.3336,0.5040,0.7272,1.1256,1.8280
432,0.0212,0.0296,0.0403,0.0774,0.1530,0.3292,0.4980,0.7184,1.1132,1.8160
433,0.0210,0.0294,0.0401,0.0768,0.1520,0.3248,0.4920,0.7096,1.1008,1.8040
434,0.0209,0.0292,0.0398,0.0763,0.1510,0.3204,0.4860,0.7008,1.0884,1.7920
435,0.0208,0.0290,0.0396,0.0758,0.1500,0.3160,0.4800,0.6920,1.0760,1.7800
436,0.0207,0.0288,0.0394,0.0753,0.1490,0.3116,0.4740,0.6832,1.0636,1.7680
437,0.0206,0.0286,0.0391,0.0748,0.1480,0.3072,0.4680,0.6744,1.0512,1.7560
438,0.0204,0.0284,0.0389,0.0742,0.1470,0.3028,0.4620,0.6656,1.0388,1.7440
439,0.0203,0.0282,0.0386,0.0737,0.1460,0.2984,0.4560,0.6568,1.0264,1.7320
440,0.0202,0.0280,0.0384,0.0732,0.1450,0.2940,0.4500,0.6480,1.0140,1.7200
441,0.0201,0.0278,0.0382,0.0727,0.1440,0.2896,0.4440,0.6392,1.0016,1.7080
442,0.0200,0.0276,0.0379,0.0722,0.1430,0.2852,0.4380,0.6304,0.9892,1.6960
443,0.0198,0.0274,0.0377,0.0716,0.1420,0.2808,0.4320,0.6216,0.9768,1.6840
444,0.0197,0.0272,0.0374,0.0711,0.1410,0.2764,0.4260,0.6128,0.9644,1.6720
445,0.0196,0.0270,0.0372,0.0706,0.1400,0.2720,0.4200,0.6040,0.9520,1.6600
446,0.0195,0.0268,0.0370,0.0701,0.1390,0.2676,0.4140,0.5952,0.9396,1.6480
447,0.0194,0.0266,0.0367,0.0696,0.1380,0.2632,0.4080,0.5864,0.9272,1.6360
448,0.0192,0.0264,0.0365,0.0690,0.1370,0.2588,0.4020,0.5776,0.9148,1.6240
449,0.0191,0.0262,0.0362,0.0685,0.1360,0.2544,0.3960,0.5688,0.9024,1.6120
450,0.0190,0.0260,0.0360,0.0680,0.1350,0.2500,0.3900,0.5600,0.8900,1.6000
451,0.0190,0.0260,0.0359,0.0678,0.1342,0.2468,0.3860,0.5548,0.8828,1.5852
452,0.0189,0.0259,0.0358,0.0675,0.1335,0.2436,0.3820,0.5496,0.8756,1.5704
453,0.0189,0.0259,0.0356,0.0673,0.1327,0.2404,0.3780,0.5444,0.8684,1.5556
454,0.0188,0.0258,0.0355,0.0670,0.1320,0.2372,0.3740,0.5392,0.8612,1.5408
455,0.0188,0.0258,0.0354,0.0668,0.1312,0.2340,0.3700,0.5340,0.8540,1.5260
456,0.0188,0.0258,0.0353,0.0666,0.1304,0.2308,0.3660,0.5288,0.8468,1.5112
457,0.0187,0.0257,0.0352,0.0663,0.1297,0.2276,0.3620,0.5236,0.8396,1.4964
458,0.0187,0.0257,0.0350,0.0661,0.1289,0.2244,0.3580,0.5184,0.8324,1.4816
459,0.0186,0.0256,0.0349,0.0658,0.1282,0.2212,0.3540,0.5132,0.8252,1.4668
460,0.0186,0.0256,0.0348,0.0656,0.1274,0.2180,0.3500,0.5080,0.8180,1.4520
461,0.0186,0.0256,0.0347,0.0654,0.1266,0.2148,0.3460,0.5028,0.8108,1.4372
462,0.0185,0.0255,0.0346,0.0651,0.1259,0.2116,0.3420,0.4976,0.8036,1.4224
463,0.0185,0.0255,0.0344,0.0649,0.1251,0.2084,0.3380,0.4924,0.7964,1.4076
464,0.0184,0.0254,0.0343,0.0646,0.1244,0.2052,0.3340,0.4872,0.7892,1.3928
465,0.0184,0.0254,0.0342,0.0644,0.1236,0.2020,0.3300,0.4820,0.7820,1.3780
466,0.0184,0.0254,0.0341,0.0642,0.1228,0.1988,0.3260,0.4768,0.7748,1.3632
467,0.0183,0.0253,0.0340,0.0639,0.1221,0.1956,0.3220,0.4716,0.7676,1.3484
468,0.0183,0.0253,0.0338,0.0637,0.1213,0.1924,0.3180,0.4664,0.7604,1.3336
469,0.0182,0.0252,0.0337,0.0634,0.1206,0.1892,0.3140,0.4612,0.7532,1.3188
470,0.0182,0.0252,0.0336,0.0632,0.1198,0.1860,0.3100,0.4560,0.7460,1.3040
471,0.0182,0.0252,0.0335,0.0630,0.1190,0.1828,0.3060,0.4508,0.7388,1.2892
472,0.0181,0.0251,0.0334,0.0627,0.1183,0.1796,0.3020,0.4456,0.7316,1.2744
473,0.0181,0.0251,0.0332,0.0625,0.1175,0.1764,0.2980,0.4404,0.7244,1.2596
474,0.0180,0.0250,0.0331,0.0622,0.1168,0.1732,0.2940,0.4352,0.7172,1.2448
475,0.0180,0.0250,0.0330,0.0620,0.1160,0.1700,0.2900,0.4300,0.7100,1.2300
476,0.0184,0.0253,0.0334,0.0623,0.1160,0.1688,0.2872,0.4272,0.7048,1.2204
477,0.0187,0.0256,0.0337,0.0626,0.1159,0.1676,0.2844,0.4244,0.6996,1.2108
478,0.0191,0.0258,0.0341,0.0630,0.1159,0.1664,0.2816,0.4216,0.6944,1.2012
479,0.0194,0.0261,0.0344,0.0633,0.1158,0.1652,0.2788,0.4188,0.6892,1.1916
480,0.0198,0.0264,0.0348,0.0636,0.1158,0.1640,0.2760,0.4160,0.6840,1.1820
481,0.0202,0.0267,0.0352,0.0639,0.1158,0.1628,0.2732,0.4132,0.6788,1.1724
482,0.0205,0.0270,0.0355,0.0642,0.1157,0.1616,0.2704,0.4104,0.6736,1.1628
483,0.0209,0.0272,0.0359,0.0646,0.1157,0.1604,0.2676,0.4076,0.6684,1.1532
484,0.0212,0.0275,0.0362,0.0649,0.1156,0.1592,0.2648,0.4048,0.6632,1.1436
485,0.0216,0.0278,0.0366,0.0652,0.1156,0.1580,0.2620,0.4020,0.6580,1.1340
486,0.0220,0.0281,0.0370,0.0655,0.1156,0.1568,0.2592,0.3992,0.6528,1.1244
487,0.0223,0.0284,0.0373,0.0658,0.1155,0.1556,0.2564,0.3964,0.6476,1.1148
488,0.0227,0.0286,0.0377,0.0662,0.1155,0.1544,0.2536,0.3936,0.6424,1.1052
489,0.0230,0.0289,0.0380,0.0665,0.1154,0.1532,0.2508,0.3908,0.6372,1.0956
490,0.0234,0.0292,0.0384,0.0668,0.1154,0.1520,0.2480,0.3880,0.6320,1.0860
